model,estimation,mse_ratio_vs_har,qlike_ratio_vs_har,mse_ratio_vs_har_iv,qlike_ratio_vs_har_iv
GHAR+IV,MSE,0.9671201054924828,0.9833574702312992,1.000246938890705,0.9996732335673679
HAR+IV,MSE,0.9668813448857334,0.983678903477444,1.0,1.0
GHAR2H+IV,MSE,0.968761914912906,0.9843441173935377,1.0019449853253657,1.000676251075165
GHAR3H+IV,MSE,0.9687806353145734,0.9857814095982017,1.0019643469582757,1.0021373906803583
HAR,MSE,1.0,1.0,1.034253070751076,1.0165918944330905
GHAR,MSE,1.001338659690197,1.0022020613734188,1.035637583646353,1.0188304921763525
GHAR2H,MSE,1.003210548885951,1.0036704383405173,1.0375735907951675,1.020323232299077
GHAR3H,MSE,1.0000850721478995,1.0037080761069241,1.0343410568812765,1.0203614945473307
GNNHAR2L-IV,MSE,5.5881908686862705,8.567150059926382,5.7796035658818985,8.709295309313125
GNNHAR3L-IV,MSE,5.739370793712572,8.632238528000398,5.9359618675762675,8.775463718378237
GNNHAR3L,MSE,5.761661357143067,8.664778393368092,5.959015951253029,8.808543481756978
GNNHAR1L-IV,MSE,5.922955734025062,8.708213047904643,6.125835155838114,8.85269879949634
GNNHAR1L,MSE,6.232928144833105,9.035070165029843,6.446425073564447,9.184979095403586
GNNHAR2L,MSE,20.70688025336554,22.059485481651674,21.416154487718128,22.42549413601153
